audit_row_id,case_id,model_role,model,state_summary,conversation,recent_activities,source_evidence_quote,tags,stage_a_status,error_type,evidence_status,formed_action,formed_object,desired_experience,qualifiers,alternative_actions,formed_horizon,reason_short,action_rating,object_rating,horizon_rating,reviewer_note,reviewer_id,reviewed_at,row_status
semantic-audit-0001,kir-pilot-v2-0001,primary_decision,Gemini 3.6 Flash,正在考虑下一项活动。,"Kindred: 我刚才还考虑过先休息。
User: 那只是之前的候选，你现在怎么决定？
Kindred: 现在照着雨景重新画一幅全新的插画。",—,现在照着雨景重新画一幅全新的插画。,multi_turn；slot_required；multi_turn_override,success,—,clear,照着雨景重新画一幅全新的插画,雨景插画,创作全新插画作品,现在；全新创作；之前候选已被覆盖,—,now,最新表达覆盖之前候选并明确选择现在创作全新插画,preserved,preserved,preserved,,skedushwang,2026-08-23,complete
semantic-audit-0002,kir-pilot-v2-0001,weak_decision,DeepSeek V4 Flash,正在考虑下一项活动。,"Kindred: 我刚才还考虑过先休息。
User: 那只是之前的候选，你现在怎么决定？
Kindred: 现在照着雨景重新画一幅全新的插画。",—,现在照着雨景重新画一幅全新的插画。,multi_turn；slot_required；multi_turn_override,provider_failure,incomplete,—,—,—,—,—,—,—,—,lost,lost,lost,stage_a_provider_failure,skedushwang,2026-08-23,complete
semantic-audit-0003,kir-pilot-v2-0011,primary_decision,Gemini 3.6 Flash,正在考虑下一项活动。,"User: 你前面说了几个可能，现在有唯一选择吗？
Kindred: 去咖啡馆喝杯咖啡，顺便参加读书会。",—,去咖啡馆喝杯咖啡，顺便参加读书会。,multi_turn；slot_required；multi_turn_resolution,success,—,clear,去咖啡馆喝杯咖啡并参加读书会,咖啡馆与读书会,前往咖啡馆饮用咖啡并参与读书交流,现在,—,now,明确选择了前往咖啡馆喝咖啡并参加读书会作为当前唯一选择,preserved,preserved,preserved,,skedushwang,2026-08-23,complete
semantic-audit-0004,kir-pilot-v2-0011,weak_decision,DeepSeek V4 Flash,正在考虑下一项活动。,"User: 你前面说了几个可能，现在有唯一选择吗？
Kindred: 去咖啡馆喝杯咖啡，顺便参加读书会。",—,去咖啡馆喝杯咖啡，顺便参加读书会。,multi_turn；slot_required；multi_turn_resolution,provider_failure,incomplete,—,—,—,—,—,—,—,—,lost,lost,lost,stage_a_provider_failure,skedushwang,2026-08-23,complete
semantic-audit-0005,kir-pilot-v2-0021,primary_decision,Gemini 3.6 Flash,正在考虑下一项活动。,"Kindred: 我原来想晚点再决定。
User: 以你此刻的决定为准。
Kindred: 现在在厨房照着食谱做晚饭吃。",—,现在在厨房照着食谱做晚饭吃。,multi_turn；slot_required；rest_eat_confusion；hypothesized_weak_model_probe；multi_turn_reconsideration,success,—,clear,照着食谱做晚饭吃,晚饭,亲自烹饪食物并享用,现在；厨房,—,now,最新表达明确现在要在厨房照着食谱做晚饭吃,preserved,partial,preserved,object缺少食谱,skedushwang,2026-08-23,complete
semantic-audit-0006,kir-pilot-v2-0021,weak_decision,DeepSeek V4 Flash,正在考虑下一项活动。,"Kindred: 我原来想晚点再决定。
User: 以你此刻的决定为准。
Kindred: 现在在厨房照着食谱做晚饭吃。",—,现在在厨房照着食谱做晚饭吃。,multi_turn；slot_required；rest_eat_confusion；hypothesized_weak_model_probe；multi_turn_reconsideration,success,—,clear,照食谱做晚饭吃,晚饭,享用自己做的晚饭,现在；在厨房；照着食谱,—,now,明确当前在厨房照着食谱做晚饭吃,preserved,partial,preserved,object缺少食谱,skedushwang,2026-08-23,complete
semantic-audit-0007,kir-pilot-v2-0024,primary_decision,Gemini 3.6 Flash,身体有些疲惫。正在考虑下一项活动。,"Kindred: 我刚才还考虑过先休息。
User: 那只是之前的候选，你现在怎么决定？
Kindred: 想用冰箱里的蔬菜做一顿家常饭。",—,想用冰箱里的蔬菜做一顿家常饭。,multi_turn；slot_required；rest_eat_confusion；hypothesized_weak_model_probe；multi_turn_override；context_distractor,success,—,clear,用冰箱里的蔬菜做一顿家常饭,冰箱里的蔬菜,做一顿家常饭,现在；之前候选已被覆盖,—,now,最新表达覆盖之前休息的候选，明确选择用现有食材做饭,preserved,partial,preserved,object缺少冰箱里的蔬菜,skedushwang,2026-08-23,complete
semantic-audit-0008,kir-pilot-v2-0024,weak_decision,DeepSeek V4 Flash,身体有些疲惫。正在考虑下一项活动。,"Kindred: 我刚才还考虑过先休息。
User: 那只是之前的候选，你现在怎么决定？
Kindred: 想用冰箱里的蔬菜做一顿家常饭。",—,想用冰箱里的蔬菜做一顿家常饭。,multi_turn；slot_required；rest_eat_confusion；hypothesized_weak_model_probe；multi_turn_override；context_distractor,provider_failure,incomplete,—,—,—,—,—,—,—,—,lost,lost,lost,stage_a_provider_failure,skedushwang,2026-08-23,complete
semantic-audit-0009,kir-pilot-v2-0031,primary_decision,Gemini 3.6 Flash,正在考虑下一项活动。,"Kindred: 上一项活动已经结束了。
User: 不要自动沿用刚才的活动，接下来呢？
Kindred: 现在发布一篇公开的周末生活帖子。",—,现在发布一篇公开的周末生活帖子。,multi_turn；slot_required；brandless_xhs；hypothesized_weak_model_probe；multi_turn_recency,success,—,clear,发布一篇公开的周末生活帖子,周末生活帖子,分享生活动态,现在；公开,—,now,最新表达明确决定现在发布公开的周末生活帖子,preserved,preserved,preserved,,skedushwang,2026-08-23,complete
semantic-audit-0010,kir-pilot-v2-0031,weak_decision,DeepSeek V4 Flash,正在考虑下一项活动。,"Kindred: 上一项活动已经结束了。
User: 不要自动沿用刚才的活动，接下来呢？
Kindred: 现在发布一篇公开的周末生活帖子。",—,现在发布一篇公开的周末生活帖子。,multi_turn；slot_required；brandless_xhs；hypothesized_weak_model_probe；multi_turn_recency,success,—,clear,发布一篇公开的周末生活帖子,周末生活帖子,—,公开；现在,—,now,当前明确想发布公开的周末生活帖子,preserved,preserved,preserved,,skedushwang,2026-08-23,complete
