gold_label,predicted_label,count,gold_count,row_fraction
in_scope,in_scope,22,24,0.916667
in_scope,oos,1,24,0.041667
in_scope,no_intent,0,24,0.000000
in_scope,ambiguous,1,24,0.041667
in_scope,invalid,0,24,0.000000
oos,in_scope,1,10,0.100000
oos,oos,8,10,0.800000
oos,no_intent,1,10,0.100000
oos,ambiguous,0,10,0.000000
oos,invalid,0,10,0.000000
no_intent,in_scope,0,7,0.000000
no_intent,oos,0,7,0.000000
no_intent,no_intent,7,7,1.000000
no_intent,ambiguous,0,7,0.000000
no_intent,invalid,0,7,0.000000
ambiguous,in_scope,1,7,0.142857
ambiguous,oos,2,7,0.285714
ambiguous,no_intent,4,7,0.571429
ambiguous,ambiguous,0,7,0.000000
ambiguous,invalid,0,7,0.000000
